clues,cl_treatmentArm,cl_cov_movi,cl_cov_telcel,cl_cov_moviPct,cl_cov_telcelPct,cl_inst_clCat,cl_ent_clave_clCat,cl_ent_nombre_clCat,cl_jur_clave_clCat,cl_jur_nombre_clCat,cl_mun_clave_clCat,cl_mun_nombre_clCat,cl_loc_clave_clCat,cl_loc_nombre_clCat,cl_clase_nombre_clCat,cl_tipo_nombre_clCat,cl_nombre_clCat,cl_domicilio_clCat,cl_cp_clCat,cl_longitude,cl_latitude,cl_altitude
CSSSA006350,0,1,1,0.832055986,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,86,SUCHIAPA,23,PACÚ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,PACÚ,NO DISPONIBLE SIN NÚMERO   ,29150,-93.13444444,16.63583333,480
CSSSA006456,0,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,89,TAPACHULA,46,ÁLVARO OBREGÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,ÁLVARO OBREGÓN,NO DISPONIBLE    ,30700,-92.37888889,14.92194444,40
CSSSA006473,2,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,89,TAPACHULA,60,CEBADILLA 2DA. SECCIÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CEBADILLA 2A. SECCIÓN,NO DISPONIBLE    ,30820,-92.28388889,14.83444444,60
CSSSA006485,2,1,0,0.8877303,0.115745567,SSA,7,CHIAPAS,7,TAPACHULA,89,TAPACHULA,77,EL EDÉN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,EL EDÉN,NO DISPONIBLE SIN NÚMERO   ,30700,-92.30027778,15.06166667,580
CSSSA006531,0,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,89,TAPACHULA,148,PUERTO MADERO (SAN BENITO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,PUERTO MADERO,NO DISPONIBLE SIN NÚMERO   ,30700,-92.42555556,14.71916667,1
CSSSA006695,0,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,92,TECPATÁN,1,TECPATÁN,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,TECPATAN,NO DISPONIBLE    ,29610,-93.31111111,17.13611111,320
CSSSA006765,0,0,1,0,0.953788638,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,92,TECPATÁN,31,RAUDALES MALPASO,UNIDAD DE CONSULTA EXTERNA,CENTRO DE SALUD CON HOSPITALIZACIÓN,RAUDALES MALPASO,NO DISPONIBLE SIN NÚMERO   ,29600,-93.60722222,17.18611111,200
CSSSA006905,1,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,94,TEOPISCA,62,BETANIA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,BETANIA,NO DISPONIBLE SIN NÚMERO   ,29410,-92.52305556,16.61,2080
CSSSA007144,3,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,26,IGNACIO RAMÍREZ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,IGNACIO RAMÍREZ,NO DISPONIBLE    ,30500,-93.87138889,16.11194444,10
CSSSA007185,0,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,44,PUEBLO NUEVO (SAN CAYETANO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,PUEBLO NUEVO,NO DISPONIBLE    ,30500,-93.65527778,15.85555556,20
CSSSA007260,3,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,98,TOTOLAPA,1,TOTOLAPA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,TOTOLAPA,NO DISPONIBLE SIN NÚMERO   ,30330,-92.68111111,16.54444444,620
CSSSA007284,3,1,1,0.926488817,0.979942083,SSA,7,CHIAPAS,3,COMITÁN,,LA TRINITARIA,1,LA TRINITARIA,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,LA TRINITARIA,NO DISPONIBLE   BARRIO EL TIMBRAL ,30160,-92.05166667,16.11777778,1540
CSSSA007296,1,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,,LA TRINITARIA,5,ÁLVARO OBREGÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,ÁLVARO OBREGÓN,NO DISPONIBLE    ,30160,-91.84416667,16.0925,1465
CSSSA007371,1,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,,LA TRINITARIA,313,TZISCAO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,TZISCAO,NO DISPONIBLE    ,30160,-91.66527778,16.08027778,1500
CSSSA007453,0,0,1,0,0.996433675,SSA,7,CHIAPAS,3,COMITÁN,,LA TRINITARIA,689,NUEVA LIBERTAD (EL COLORADO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,NUEVA LIBERTAD (EL COLORADO),NO DISPONIBLE    ,30160,-92.06,15.90111111,680
CSSSA007605,2,1,1,1,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,101,TUXTLA GUTIÉRREZ,1,TUXTLA GUTIÉRREZ,UNIDAD DE CONSULTA EXTERNA,URBANO DE 03 NÚCLEOS BÁSICOS,ALBANIA (EL VALLE),NO DISPONIBLE SIN NÚMERO  FRACCIONAMIENTO EL VALLE ,29010,-93.11666667,16.75277778,600
CSSSA007622,2,1,1,1,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,101,TUXTLA GUTIÉRREZ,1,TUXTLA GUTIÉRREZ,UNIDAD DE CONSULTA EXTERNA,URBANO DE 05 NÚCLEOS BÁSICOS,TERAN,NO DISPONIBLE 215   ,29100,-93.11666667,16.75277778,600
CSSSA007680,3,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,102,TUXTLA CHICO,12,1RA. SECCIÓN DE MEDIO MONTE,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,C.S. PRIMERA SECCIÓN DE MEDIO MONTE,NO DISPONIBLE SIN NÚMERO   ,99999,-92.20944444,14.89055556,160
CSSSA007791,1,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,104,TZIMOL,17,OCHUSJOB,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,OCHUSJOB,NO DISPONIBLE    ,30110,-92.25222222,16.22583333,1420
CSSSA007820,1,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,105,UNIÓN JUÁREZ,1,UNIÓN JUÁREZ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,UNIÓN JUÁREZ,NO DISPONIBLE SIN NÚMERO   ,30880,-92.08055556,15.0625,1300
CSSSA007844,1,0,1,0,0.998895526,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,106,VENUSTIANO CARRANZA,1,VENUSTIANO CARRANZA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,VENUSTIANO CARRANZA,NO DISPONIBLE 28   ,30200,-92.56388889,16.33805556,780
CSSSA007902,0,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,106,VENUSTIANO CARRANZA,170,PRESIDENTE ECHEVERRÍA (LAJA TENDIDA),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LAJA TENDIDA,NO DISPONIBLE SIN NÚMERO   ,30240,-92.66861111,16.33583333,540
CSSSA007931,0,0,1,0,0.999130964,SSA,7,CHIAPAS,4,VILLAFLORES,107,VILLA CORZO,1,VILLA CORZO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,VILLACORZO,TERCERA PONIENTE ENTRE PRIMERA SUR Y AVENIDA CENTRAL SIN NÚMERO   ,30520,-93.26861111,16.18527778,580
CSSSA007943,0,0,1,0,0.999138951,SSA,7,CHIAPAS,4,VILLAFLORES,107,VILLA CORZO,34,SAN PEDRO BUENAVISTA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,SN. PEDRO BUENAVISTA,CARRETERA VILLACORZO-REVOLUCIÓN MEXICANA SEXTA AVENIDA NORTE SIN NÚMERO   ,30525,-93.16388889,16.13333333,580
CSSSA007960,0,0,1,0,1,SSA,7,CHIAPAS,4,VILLAFLORES,107,VILLA CORZO,166,EL PARRAL,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,EL PARRAL,PRIMERA AVENIDA SUR Y SEGUNDA PONIENTE   EL PARRAL ,30520,-93.00638889,16.36611111,620
CSSSA008153,0,0,0,0,0.095019862,SSA,7,CHIAPAS,4,VILLAFLORES,108,VILLAFLORES,81,DOCTOR DOMINGO CHANONA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,DR. DOMINGO CHANONA,ENTRADA A LA COLONIA AL LADO DE LA SECUNDARIA    ,30490,-93.4175,16.34611111,640
CSSSA008165,1,0,1,0,1,SSA,7,CHIAPAS,4,VILLAFLORES,108,VILLAFLORES,120,JESÚS MARÍA GARZA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,JESÚS MA. GARZA,TERCERA NORTE Y TERCERA ORIENTE   CENTRO ,30493,-93.29166667,16.39444444,620
CSSSA008211,0,0,1,0,0.901910841,SSA,7,CHIAPAS,4,VILLAFLORES,108,VILLAFLORES,349,TIERRA Y LIBERTAD,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,TIERRA Y LIBERTAD,FRENTE AL CAMPO DE FOTBALL SOCCER    ,30490,-93.70444444,16.23638889,1140
CSSSA008445,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,112,SAN JUAN CANCUC,7,CHACTÉ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CHACTÉ,NO DISPONIBLE    ,29453,-92.34222222,16.93972222,1140
CSSSA008701,2,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,23,CHAMULA,127,BASHEQUEN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,BASHEQUÉM,NO DISPONIBLE    ,29320,-92.60805556,16.88555556,2070
CSSSA008725,2,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,64,OXCHUC,19,LELENCHIJ,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LELENCHIG,NO DISPONIBLE    ,99999,-92.41194444,16.84166667,1900
CSSSA009063,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,23,CHAMULA,12,CALLEJÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CALLEJÓN,NO DISPONIBLE    ,99999,-92.70972222,16.86805556,2020
CSSSA009080,0,1,1,1,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,27,CHIAPA DE CORZO,65,NUEVA PALESTINA (NANDAYACUTI),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,NUEVA PALESTINA,NO DISPONIBLE    ,29160,-92.97305556,16.6625,440
CSSSA009150,3,1,1,0.978589416,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,46,JIQUIPILAS,112,VICENTE GUERRERO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,VICENTE GUERRERO,NO DISPONIBLE    ,30430,-93.58111111,16.65972222,500
CSSSA018006,1,1,1,1,1,SSA,7,CHIAPAS,7,TAPACHULA,54,MAZATÁN,1,MAZATÁN,UNIDAD DE CONSULTA EXTERNA,URBANO DE 03 NÚCLEOS BÁSICOS,MAZATÁN,PERIFÉRICO NORTE PROLONGACIÓN AVENIDA ALLENDE ATRÁS DE LA CLÍNICA DEL IMSS SIN NÚMERO  BARRIO SAN JOSÉ ,30650,-92.45,14.8625,20
CSSSA018093,0,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,62,OSTUACÁN,139,NUEVO JUAN DEL GRIJALVA,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,NUEVO JUAN DEL GRIJALVA,DOMICILIO CONOCIDO    ,99999,-93.37222222,93.37222222,932220
CSSSA018414,0,1,1,1,1,SSA,7,CHIAPAS,3,COMITÁN,52,LAS MARGARITAS,1,LAS MARGARITAS,UNIDAD DE CONSULTA EXTERNA,URBANO DE 07 NÚCLEOS BÁSICOS,LAS MARGARITAS,CUARTA NORTE ORIENTE Y SEGUNDA AVENIDA ORIENTE NORTE SIN NÚMERO   ,30180,-91.98166667,16.31527778,1521
CSSSA018431,1,0,1,0,1,SSA,7,CHIAPAS,1,TUXTLA GUTIERREZ,110,SAN LUCAS,1,SAN LUCAS,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,CESSA SAN LUCAS,FRANCISCO I.  MADERO CERCA DEL OJO DE AGUA SIN NÚMERO  BARRIO EL TRIUNFO ,29400,-92.71805556,16.61166667,660
CSSSA018653,0,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,69,PIJIJIAPAN,5,CACHIMBO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CACHIMBO,PRINCIPAL ANTES DEL CRUCERO DEL CAMINO A LAS GARZAS    ,30540,-93.24527778,15.67833333,27
CSSSA018682,3,0,1,0,1,SSA,7,CHIAPAS,8,TONALÁ,97,TONALÁ,46,LA POLKA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LA POLKA,A 50 METROS DE LA CALLE PRINCIPAL DESPUÉS DE LA IGLESIA CATÓLICA    ,30500,-93.66444444,15.95888889,15
CSSSA018962,1,0,1,0,1,SSA,7,CHIAPAS,3,COMITÁN,104,TZIMOL,1,TZIMOL,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,TZIMOL,CARRETERA COMITAN-PIJILTIC KM. 13 ESQUINA BOULEVARD BENITO JUÁREZ SIN NÚMERO  BARRIO MACMANTIC ,30110,-92.19694444,16.1875,1380
CSSSA019225,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,26,CHENALHÓ,134,CHIXILTÓN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CENTRO DE SALUD MICROREGIONAL CHIXILTÓN,A UN COSTADO DE LA ESCUELA PRIMARIA    ,99999,-92.60361111,16.92527778,1960
CSSSA019300,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,38,HUIXTÁN,23,SAN ANDRÉS PUERTO RICO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CENTRO DE SALUD MICROREGIONAL SAN ANDRES PUERTO RICO,A UN COSTADO DE LA ESCUELA    ,29473,-92.4025,16.70166667,1820
CSSSA019464,0,0,1,0,1,SSA,7,CHIAPAS,2,SAN CRISTÓBAL DE LAS CASAS,26,CHENALHÓ,53,TZANEMBOLOM,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CENTRO DE SALUD MICROREGIONAL  ZANEMBOLOM,A UN COSTADO DE LA AGENCIA MUNICIPAL    ,29876,-92.54,16.99805556,1160
CSSSA019732,0,0,1,0,1,SSA,7,CHIAPAS,9,OCOSINGO,31,CHILÓN,252,TZASIBILTIC,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CENTRO DE SALUD MICROREGIONAL TZASIBILTIC,A UN COSTADO DE LA ESCUELA PRIMARIA 50 METROS ANTES    ,29940,-92.29305556,17.15083333,980
CSSSA020111,0,0,1,0,1,SSA,7,CHIAPAS,5,PICHUCALCO,67,PANTEPEC,29,SAN ISIDRO LAS BANDERAS,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CENTRO DE SALUD MICROREGIONAL SAN ISIDRO LAS BANDERAS,A 100 METROS DE LA ESCUELA PRIMARIA GUADALUPE VICTORIA    ,29710,-93.05972222,17.23055556,1430
GTSSA000042,3,1,1,1,1,SSA,11,GUANAJUATO,6,IRAPUATO,1,ABASOLO,58,ESTACIÓN JOAQUÍN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,ESTACIÓN JOAQUÍN-UMAPS,INSURGENTES SIN NÚMERO   ,36981,-101.5188889,20.56083333,1700
GTSSA000054,2,0,1,0.640319705,1,SSA,11,GUANAJUATO,6,IRAPUATO,1,ABASOLO,59,LA JOYA DE CALVILLO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,JOYA DE CALVILLO-UMAPS,A UN COSTADO DE BODEGAS CONASUPO    ,36780,-101.6077778,20.74972222,1750
GTSSA000170,0,1,1,1,1,SSA,11,GUANAJUATO,4,ACÁMBARO,2,ACÁMBARO,17,CHUPÍCUARO (NUEVO CHUPÍCUARO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,CHUPICUARO-UMAPS,MORELOS 59   ,38750,-100.6925,20.06888889,1910
GTSSA000194,1,1,1,1,1,SSA,11,GUANAJUATO,4,ACÁMBARO,2,ACÁMBARO,27,IRÁMUCO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,IRAMUCO-UMAPS,EMILIANO ZAPATA SIN NÚMERO   ,38870,-100.9230556,19.965,1840
GTSSA000235,0,1,1,1,1,SSA,11,GUANAJUATO,4,ACÁMBARO,2,ACÁMBARO,42,LOS ÓRGANOS (LOS ÓRGANOS DE ABAJO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LOS ORGANOS-UMAPS,EMILIANO ZAPATA Y MORELOS SIN NÚMERO   ,38747,-100.8127778,20.05555556,1850
GTSSA000293,3,1,1,1,1,SSA,11,GUANAJUATO,4,ACÁMBARO,2,ACÁMBARO,92,SAN MATEO TÓCUARO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,TOCUARO-UMAPS,ZARAGOZA SIN NÚMERO   ,38780,-100.7233333,19.96888889,2020
GTSSA000346,3,1,1,1,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,7,ALCOCER,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,ALCOCER-UMAPS,REAL SIN NÚMERO   ,37700,-100.7041667,20.86972222,2110
GTSSA000416,2,1,1,1,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,83,LA CRUZ DEL PALMAR,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LA CRUZ DEL PALMAR-UMAPS,AVENIDA RENOVACION SIN NÚMERO   ,37700,-100.8427778,20.97027778,1860
GTSSA000474,0,0,1,0.19045572,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,223,PUERTO DE NIETO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,PUERTO DE NIETO-UMAPS,PRINCIPAL A UN COSTADO DE LA IGLESIA    ,37880,-100.5361111,20.89,2130
GTSSA000491,1,1,1,1,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,291,SAN MIGUELITO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,SAN MIGUELITO-UMAPS,NO DISPONIBLE    ,37700,-100.5852778,21.06027778,2010
GTSSA000503,3,1,1,1,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,3,SAN MIGUEL DE ALLENDE,318,LA TALEGA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LA TALEGA-UMAPS,COLEGIO SIN NÚMERO   ,37700,-100.6833333,20.99055556,2100
GTSSA000544,2,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,4,APASEO EL ALTO,24,EL ESPEJO (EX-HACIENDA DE ESPEJO),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,ESPEJO-UMAPS,EMILIANO ZAPATA SIN NÚMERO   ,38510,-100.5527778,20.44055556,1920
GTSSA000556,2,1,1,0.876492798,1,SSA,11,GUANAJUATO,3,CELAYA,4,APASEO EL ALTO,45,OJO DE AGUA DE LA TRINIDAD,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,OJO DE AGUA DE LA TRINIDAD-UMAPS,5 DE MAYO 5  BARRIO 1 ,38520,-100.6319444,20.39416667,2150
GTSSA000626,1,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,5,APASEO EL GRANDE,19,IXTLA (SAN MIGUEL DE IXTLA),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,PUEBLO DE IXTLA-UMAPS,LEOPOLDO VAZQUEZ 65   ,38170,-100.5888889,20.65416667,1890
GTSSA000696,1,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,5,APASEO EL GRANDE,53,EL TUNAL (LOS OLIVOS),UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,EL TUNAL-UMAPS,JUAN ALVAREZ FRENTE A LA TELESECUNDARIA SIN NÚMERO   ,28161,-100.6180556,20.56694444,1790
GTSSA000824,0,1,1,0.99959892,1,SSA,11,GUANAJUATO,3,CELAYA,7,CELAYA,143,RINCÓN DE TAMAYO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,RINCÓN DE TAMAYO-CAISES,HACIENDA DEL RINCON SIN NÚMERO   ,38150,-100.7552778,20.42277778,1790
GTSSA000841,2,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,7,CELAYA,154,SAN ISIDRO CRESPO,UNIDAD DE CONSULTA EXTERNA,URBANO DE 02 NÚCLEOS BÁSICOS,SAN ISIDRO DE CRESPO (SAN ISIDRO)-UMAPS,PIPILA Y ÁLVARO OBREGON SIN NÚMERO   ,38110,-100.8855556,20.51472222,1740
GTSSA000853,3,1,1,0.86403966,0.86403966,SSA,11,GUANAJUATO,3,CELAYA,7,CELAYA,161,SAN JUAN DE LA VEGA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,SAN JUAN DE LA VEGA-CAISES,ALDAMA 406   ,38100,-100.7608333,20.62611111,1770
GTSSA000940,0,0,1,0.015283189,1,SSA,11,GUANAJUATO,8,LEÓN DELTA,8,MANUEL DOBLADO,15,CALZADA DEL TEPOZÁN,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,CALZADA DE TEPOZAN-UMAPS,NUEVA CARRETERA CIUDAD M. DOBLADO-SAN PABLO KM. 5    ,36485,-101.8827778,20.73805556,1720
GTSSA001051,0,0,1,0.220972732,1,SSA,11,GUANAJUATO,3,CELAYA,9,COMONFORT,24,MORALES,UNIDAD DE CONSULTA EXTERNA,RURAL DE 03 NÚCLEOS BÁSICOS Y MÁS,RANCHO MORALES-UMAPS,ALDAMA 28   ,38214,-100.8083333,20.77888889,1800
GTSSA001075,0,0,1,0,1,SSA,11,GUANAJUATO,3,CELAYA,9,COMONFORT,35,POTRERO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,EL POTRERO-UMAPS,MORELOS 12   ,38300,-100.6466667,20.75944444,1910
GTSSA001080,0,0,1,0.150169209,1,SSA,11,GUANAJUATO,3,CELAYA,9,COMONFORT,41,SAN ANTONIO DE CORRALES,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,SAN ANTONIO DE CORRALES-UMAPS,BENITO JUÁREZ 307   ,38200,-100.9638889,20.74555556,2000
GTSSA001092,0,0,1,0,1,SSA,11,GUANAJUATO,4,ACÁMBARO,10,CORONEO,1,CORONEO,UNIDAD DE CONSULTA EXTERNA,CENTROS DE SALUD CON SERVICIOS AMPLIADOS,CORONEO CESSA,ING. MARIANO GARCIA SELA 247   ,38590,-100.3644444,20.19861111,2270
GTSSA001145,2,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,11,CORTAZAR,6,CAÑADA DE CARACHEO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,CAÑADA DE CARACHEO-UMAPS,PLAZUELA PROVIDENCIA 48   ,38480,-100.9458333,20.37555556,1800
GTSSA001203,2,1,1,1,1,SSA,11,GUANAJUATO,3,CELAYA,11,CORTAZAR,54,TIERRA FRÍA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,TIERRA FRÍA-UMAPS,5 DE MAYO 31   ,38480,-101.0388889,20.46222222,1720
GTSSA001256,0,1,1,1,1,SSA,11,GUANAJUATO,2,SAN MIGUEL DE ALLENDE,13,DOCTOR MORA,26,LOMA DE BUENAVISTA,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,LOMA DE BUENAVISTA-UMAPS,LUIS H. DUCOING SIN NÚMERO   ,37960,-100.3455556,21.17888889,2060
GTSSA001326,0,1,1,1,1,SSA,11,GUANAJUATO,1,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,4,ADJUNTAS DEL RÍO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,ADJUNTAS DEL RÍO-UMAPS,MORA 4   ,37800,-100.8669444,21.11972222,1900
GTSSA001355,0,1,1,1,1,SSA,11,GUANAJUATO,1,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,125,JAMAICA (SAN MIGUEL DE JAMAICA),UNIDAD DE CONSULTA EXTERNA,RURAL DE 02 NÚCLEOS BÁSICOS,JAMAICA-UMAPS,AVENIDA INSURGENTES    ,37800,-100.7341667,21.14361111,1960
GTSSA001413,0,1,0,0.918842912,0.185616717,SSA,11,GUANAJUATO,1,GUANAJUATO,14,DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,294,SAN MARCOS DE ABAJO,UNIDAD DE CONSULTA EXTERNA,RURAL DE 01 NÚCLEO BÁSICO,SAN MARCOS DE ABAJO-UMAPS,CAMINO SALIDA DE LA COMUNIDAD DEL SOTELO    ,37848,-101.0166667,21.02055556,2020
